Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Error %;Throughput;Received KB/sec;Sent KB/sec
01_LaunchHomepage-1;300;1950;1637;3055;3465;4323;1392;4903;0%;.21706;3.27;0.25
01_LaunchHomepage-2;293;590;547;600;1150;1265;499;1327;0%;.21787;0.08;0.28
01_LaunchHomepage-3;293;664;619;667;833;1335;563;3190;0%;.21786;0.25;0.35
01_LaunchHomepage;293;3210;2907;4400;4960;5647;2504;6069;0%;.21480;3.57;0.88
02_ClickSignIn-1;293;1470;1211;2230;2403;4576;1083;5408;0%;.21777;2.49;0.32
02_ClickSignIn-2;292;618;547;611;1294;1367;488;3661;0%;.21766;0.08;0.30
02_ClickSignIn;292;2089;1768;2899;3130;5219;1595;5942;0%;.21495;2.54;0.61
03_EnterCredential&SignIn-1;292;2358;2055;3131;3477;4458;1876;5376;0%;.21716;3.88;0.81
03_EnterCredential&SignIn-2;275;609;560;605;1238;1289;493;2021;0%;.20972;0.11;0.35
03_EnterCredential&SignIn-3;275;680;629;669;1274;1320;573;3359;0%;.20971;0.24;0.42
03_EnterCredential&SignIn;275;3647;3363;4507;4842;5974;3021;7163;0%;.20493;4.00;1.51
04_ClickArt-1;108;1200;976;1842;2325;2496;877;2785;0%;.08241;1.33;0.15
04_ClickArt-2;107;620;558;610;1146;1755;515;1788;0%;.08478;0.04;0.15
04_ClickArt-3;107;669;628;653;1145;1505;580;1793;0%;.08477;0.06;0.16
04_ClickArt;107;2492;2298;3301;3618;4297;2043;4322;0%;.08377;1.45;0.45
04_ClickAccessories-1;87;1996;1821;2563;2674;3040;1654;3703;0%;.06807;1.25;0.12
04_ClickAccessories-2;87;616;559;594;1271;1363;518;1369;0%;.06814;0.04;0.12
04_ClickAccessories-3;87;691;626;675;1318;1351;589;2015;0%;.06813;0.06;0.13
04_ClickAccessories;87;3304;3053;4006;4345;4888;2812;5300;0%;.06711;1.33;0.37
05_ClickArtProd-1;107;1893;1664;2728;2966;3715;1511;3946;0%;.08471;1.73;0.16
05_ClickArtProd-2;107;682;633;666;1328;1405;572;2093;0%;.08477;0.06;0.17
05_ClickArtProd-3;107;653;557;632;1248;2592;510;3369;0%;.08478;0.04;0.15
05_ClickArtProd;107;3229;2875;4153;4913;6497;2620;6756;0%;.08353;1.81;0.47
06_AddToCart-1;187;1373;1253;1760;2378;2564;704;4659;0%;.14814;0.22;0.49
06_AddToCart-2;267;731;628;970;1529;1851;551;3923;0%;.21155;0.75;0.42
06_AddToCart(A);107;1879;1769;2491;2713;2964;1391;3216;0%;.08404;0.43;0.44
05_ClickAccessoriesProd-1;87;1899;1679;2606;2863;3309;1520;3807;0%;.06806;1.41;0.13
05_ClickAccessoriesProd-2;80;638;558;849;1246;1270;494;2038;0%;.07401;0.04;0.13
05_ClickAccessoriesProd-3;80;675;625;708;1256;1292;573;1313;0%;.07399;0.07;0.15
05_ClickAccessoriesProd;80;3222;2954;4090;4445;5309;2663;5708;0%;.07116;1.58;0.40
04_ClickClothes-1;80;1714;1643;1945;2022;2705;1494;2893;0%;.07063;1.17;0.13
01_ClickClothes-2;80;577;552;584;612;1262;503;1304;0%;.07069;0.04;0.12
01_ClickClothes-3;80;663;620;657;898;1389;572;1894;0%;.07068;0.03;0.12
04_ClickClothes;80;2954;2835;3270;3559;4171;2628;4250;0%;.06686;1.17;0.35
07_ContShopping-1;267;1605;1605;2235;2692;3362;789;3979;0%;.21141;4.71;0.44
07_ContShopping(A);100;1874;1661;2584;2813;3362;1453;3979;0%;.08699;1.91;0.18
05_ClickClothesProd-1;80;1133;1119;1542;1737;1993;788;2242;0%;.07066;1.46;0.13
05_ClickClothesProd-2;80;593;555;592;1109;1173;503;1180;0%;.07068;0.04;0.13
05_ClickClothesProd-3;80;670;621;680;1160;1203;557;1865;0%;.07068;0.02;0.13
05_ClickClothesProd;80;2396;2320;2841;3319;3730;1966;4059;0%;.06999;1.51;0.38
08_ClickCart-1;260;1265;1221;1742;2334;2685;205;4613;769%;.21561;2.69;0.40
08_ClickCart-2;260;626;557;641;1242;1359;492;2126;0%;.21570;0.11;0.37
08_ClickCart(A);100;1590;1388;2197;2364;3029;1208;4304;2.000%;.08741;1.13;0.31
06_AddToCart(AC);80;2454;2302;3096;3501;5358;1927;6463;0%;.07262;0.35;0.38
