Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_LaunchHomepage-1,450,1813,1583,2475,2878,3870,1411,4861,0.000%,.32716,4.93,0.38
01_LaunchHomepage-2,441,584,545,607,792,1272,486,1312,0.000%,.32395,0.12,0.42
01_LaunchHomepage-3,441,656,618,674,911,1304,572,1416,0.000%,.32393,0.38,0.53
01_LaunchHomepage,440,3057,2807,3765,4143,5157,2533,5995,0.000%,.32288,5.36,1.32
02_ClickSignIn-1,440,1375,1210,1973,2299,2906,1069,3011,0.000%,.32730,3.74,0.48
02_ClickSignIn-2,440,580,545,578,634,1332,494,1403,0.000%,.32745,0.12,0.45
02_ClickSignIn,438,1955,1761,2625,2896,3480,1601,4221,0.000%,.32227,3.80,0.92
03_EnterCredential&SignIn-1,438,2324,2061,3068,3712,4489,1848,5691,0.000%,.32596,5.82,1.21
03_EnterCredential&SignIn-2,418,618,561,649,1254,1336,503,2017,0.000%,.31876,0.16,0.53
03_EnterCredential&SignIn-3,418,671,632,694,915,1319,563,2281,0.000%,.31875,0.37,0.64
03_EnterCredential&SignIn,418,3623,3338,4513,5046,6199,2984,9190,0.000%,.31147,6.08,2.30
04_ClickArt-1,168,1089,970,1313,1530,2142,4,3797,0.595%,.12807,2.05,0.23
04_ClickArt-2,160,590,558,587,674,1165,509,1762,0.000%,.12747,0.07,0.22
04_ClickArt-3,160,658,622,671,910,1206,577,1223,0.000%,.12746,0.08,0.24
04_ClickArt,160,2341,2179,2747,3070,3657,1767,4962,0.625%,.12593,2.17,0.67
04_ClickAccessories-1,130,1927,1814,2203,2644,3295,1685,4504,0.000%,.10184,1.87,0.18
04_ClickAccessories-2,130,592,558,602,631,1311,500,1386,0.000%,.10194,0.05,0.18
04_ClickAccessories-3,130,673,626,668,1281,1320,555,1465,0.000%,.10193,0.09,0.20
04_ClickAccessories,130,3193,3033,3803,3966,4485,2799,5672,0.000%,.10043,1.98,0.55
05_ClickArtProd-1,160,1818,1660,2437,2714,2762,1466,4673,0.000%,.12728,2.60,0.24
